,Date,Open,High,Low,Close,Volume,Market Cap
857,"Nov 23, 2015",0.000010,0.000013,0.000010,0.000010,262,"90,287"
858,"Nov 22, 2015",0.000010,0.000013,0.000010,0.000010,31,"90,783"
859,"Nov 21, 2015",0.000013,0.000013,0.000010,0.000010,69,"119,005"
860,"Nov 20, 2015",0.000015,0.000015,0.000012,0.000013,95,"136,777"
861,"Nov 19, 2015",0.000010,0.000015,0.000010,0.000015,158,"93,510"
862,"Nov 18, 2015",0.000010,0.000015,0.000010,0.000010,328,"92,919"
863,"Nov 17, 2015",0.000014,0.000014,0.000010,0.000010,"1,051","128,381"
864,"Nov 16, 2015",0.000012,0.000014,0.000010,0.000014,210,"106,227"
865,"Nov 15, 2015",0.000012,0.000013,0.000011,0.000012,28,"108,759"
866,"Nov 14, 2015",0.000012,0.000014,0.000011,0.000012,124,"109,965"
867,"Nov 13, 2015",0.000012,0.000014,0.000011,0.000012,79,"111,803"
868,"Nov 12, 2015",0.000012,0.000015,0.000012,0.000012,174,"113,431"
869,"Nov 11, 2015",0.000013,0.000015,0.000010,0.000012,285,"124,243"
870,"Nov 10, 2015",0.000012,0.000015,0.000012,0.000013,99,"113,037"
871,"Nov 09, 2015",0.000015,0.000015,0.000011,0.000012,159,"135,836"
872,"Nov 08, 2015",0.000012,0.000016,0.000012,0.000015,124,"109,563"
873,"Nov 07, 2015",0.000012,0.000016,0.000012,0.000012,159,"108,566"
874,"Nov 06, 2015",0.000015,0.000016,0.000011,0.000015,211,"142,376"
875,"Nov 05, 2015",0.000014,0.000017,0.000012,0.000015,154,"129,297"
